cohort_19_in,number_in_ss_cohort,region,la_code_9,la_code_3,la_name,fsm,sen,category,value
2021,195,London,E09000024,315,Merton,ALL,SEN without statements or EHC plans,l2,75.8974359
2021,1192,London,E09000024,315,Merton,Not eligible for FSM,ALL,l2,88.75838926
2021,233,London,E09000024,315,Merton,Eligible for FSM,ALL,l2,74.24892704
2021,3809,London,E09000025,316,Newham,ALL,ALL,l2,86.05933316
2021,3245,London,E09000025,316,Newham,ALL,No SEN,l2,90.81664099
2021,49,London,E09000025,316,Newham,ALL,SEN with statements or EHC plans,l2,24.48979592
2021,515,London,E09000025,316,Newham,ALL,SEN without statements or EHC plans,l2,61.94174757
2021,3153,London,E09000025,316,Newham,Not eligible for FSM,ALL,l2,88.10656518
2021,656,London,E09000025,316,Newham,Eligible for FSM,ALL,l2,76.2195122
2021,3445,London,E09000026,317,Redbridge,ALL,ALL,l2,89.0275762
2021,3062,London,E09000026,317,Redbridge,ALL,No SEN,l2,92.09666884
2021,108,London,E09000026,317,Redbridge,ALL,SEN with statements or EHC plans,l2,37.03703704
2021,275,London,E09000026,317,Redbridge,ALL,SEN without statements or EHC plans,l2,75.27272727
2021,2975,Yorkshire and the Humber,E08000036,384,Wakefield,ALL,No SEN,l2,81.24369748
2021,107,Yorkshire and the Humber,E08000036,384,Wakefield,ALL,SEN with statements or EHC plans,l2,19.62616822
2021,334,Yorkshire and the Humber,E08000036,384,Wakefield,ALL,SEN without statements or EHC plans,l2,53.89221557
2021,3006,Yorkshire and the Humber,E08000036,384,Wakefield,Not eligible for FSM,ALL,l2,79.50765136
2021,410,Yorkshire and the Humber,E08000036,384,Wakefield,Eligible for FSM,ALL,l2,55.6097561
2021,5976,Yorkshire and the Humber,E10000023,815,North Yorkshire,ALL,ALL,l2,84.70548862
2021,5279,Yorkshire and the Humber,E10000023,815,North Yorkshire,ALL,No SEN,l2,88.57738208
2021,194,Yorkshire and the Humber,E10000023,815,North Yorkshire,ALL,SEN with statements or EHC plans,l2,36.59793814
2021,503,Yorkshire and the Humber,E10000023,815,North Yorkshire,ALL,SEN without statements or EHC plans,l2,62.62425447
2021,5595,Yorkshire and the Humber,E10000023,815,North Yorkshire,Not eligible for FSM,ALL,l2,86.00536193
2021,381,Yorkshire and the Humber,E10000023,815,North Yorkshire,Eligible for FSM,ALL,l2,65.6167979
2021,1313,North East,E06000002,806,Middlesbrough,ALL,ALL,l2,76.38994669
2021,984,North East,E06000002,806,Middlesbrough,ALL,No SEN,l2,84.45121951
2021,73,North East,E06000002,806,Middlesbrough,ALL,SEN with statements or EHC plans,l2,20.54794521
2021,256,North East,E06000002,806,Middlesbrough,ALL,SEN without statements or EHC plans,l2,61.328125
2021,1004,North East,E06000002,806,Middlesbrough,Not eligible for FSM,ALL,l2,81.57370518
2021,309,North East,E06000002,806,Middlesbrough,Eligible for FSM,ALL,l2,59.54692557
2021,1521,North East,E06000003,807,Redcar and Cleveland,ALL,ALL,l2,77.71203156
2021,1231,North East,E06000003,807,Redcar and Cleveland,ALL,No SEN,l2,84.24045491
2021,73,North East,E06000003,807,Redcar and Cleveland,ALL,SEN with statements or EHC plans,l2,31.50684932
