cohort_19_in,number_in_ss_cohort,region,la_code_9,la_code_3,la_name,fsm,value,category
2021,1080,South East,E06000046,921,Isle of Wight,ALL,60.55555556,l2em
2021,5710,South East,E06000060,825,Buckinghamshire,ALL,80.12259194,l2em
2021,4724,South East,E10000011,845,East Sussex,ALL,67.92972058,l2em
2021,12535,South East,E10000014,850,Hampshire,ALL,73.79337854,l2em
2021,15643,South East,E10000016,886,Kent,ALL,67.88979096,l2em
2021,5918,South East,E10000025,931,Oxfordshire,ALL,71.7641095,l2em
2021,10085,South East,E10000030,936,Surrey,ALL,77.5210709,l2em
2021,7619,South East,E10000032,938,West Sussex,ALL,72.87045544,l2em
2021,2079,South West,E06000022,800,Bath and North East Somerset,ALL,75.56517557,l2em
2021,3159,South West,E06000023,801,"Bristol, City of",ALL,67.39474517,l2em
2021,14092,East of England,E10000012,881,Essex,ALL,59.86375248,l3
2021,12422,East of England,E10000015,919,Hertfordshire,ALL,70.53614555,l3
2021,7562,East of England,E10000020,926,Norfolk,ALL,54.68130124,l3
2021,6828,East of England,E10000029,935,Suffolk,ALL,58.86057411,l3
2021,2249,London,E09000002,301,Barking and Dagenham,ALL,61.2716763,l3
2021,3788,London,E09000003,302,Barnet,ALL,76.58394931,l3
2021,3045,London,E09000004,303,Bexley,ALL,62.26600985,l3
2021,2981,London,E09000005,304,Brent,ALL,73.12982221,l3
2021,3150,London,E09000006,305,Bromley,ALL,68.03174603,l3
2021,1562,London,E09000007,202,Camden,ALL,70.35851472,l3
2021,3443,London,E09000008,306,Croydon,ALL,66.42462968,l3
2021,2917,London,E09000009,307,Ealing,ALL,73.87727117,l3
2021,3460,London,E09000010,308,Enfield,ALL,64.21965318,l3
2021,2308,London,E09000011,203,Greenwich,ALL,61.26516464,l3
2021,2064,London,E09000012,204,Hackney,ALL,69.67054264,l3
2021,1316,London,E09000013,205,Hammersmith and Fulham,ALL,73.556231,l3
2021,2243,London,E09000014,309,Haringey,ALL,67.45430227,l3
2021,2083,London,E09000015,310,Harrow,ALL,78.54056649,l3
2021,2792,London,E09000016,311,Havering,ALL,63.03724928,l3
2021,3128,London,E09000017,312,Hillingdon,ALL,66.75191816,l3
2021,2607,London,E09000018,313,Hounslow,ALL,74.45339471,l3
2021,1426,London,E09000019,206,Islington,ALL,68.09256662,l3
2021,721,London,E09000020,207,Kensington and Chelsea,ALL,77.66990291,l3
2021,1537,London,E09000021,314,Kingston upon Thames,ALL,76.64281067,l3
2021,2151,London,E09000022,208,Lambeth,ALL,61.69223617,l3
2021,2126,London,E09000023,209,Lewisham,ALL,66.5098777,l3
2021,1425,London,E09000024,315,Merton,ALL,67.50877193,l3
2021,3809,London,E09000025,316,Newham,ALL,70.77973221,l3
2021,3445,London,E09000026,317,Redbridge,ALL,77.85195936,l3
2021,1313,North East,E06000002,806,Middlesbrough,ALL,52.09444021,l3
2021,1521,North East,E06000003,807,Redcar and Cleveland,ALL,53.05719921,l3
2021,1938,North East,E06000004,808,Stockton-on-Tees,ALL,56.60474716,l3
2021,1100,North East,E06000005,841,Darlington,ALL,56.09090909,l3
2021,4568,North East,E06000047,840,County Durham,ALL,48.94921191,l3
2021,3050,North East,E06000057,929,Northumberland,ALL,57.08196721,l3
2021,2479,North East,E08000021,391,Newcastle upon Tyne,ALL,52.80354982,l3
2021,1900,North East,E08000022,392,North Tyneside,ALL,58.47368421,l3
2021,1436,North East,E08000023,393,South Tyneside,ALL,53.83008357,l3
2021,2616,North East,E08000024,394,Sunderland,ALL,50.3440367,l3
2021,1892,North East,E08000037,390,Gateshead,ALL,55.17970402,l3
2021,5976,Yorkshire and the Humber,E10000023,815,North Yorkshire,ALL,62.61713521,l3
2021,12261,West Midlands,E08000025,330,Birmingham,ALL,61.732322,l3
2021,3364,West Midlands,E08000026,331,Coventry,ALL,54.69678954,l3
2021,3293,West Midlands,E08000027,332,Dudley,ALL,55.20801701,l3
2021,3651,West Midlands,E08000028,333,Sandwell,ALL,51.13667488,l3
2021,2920,West Midlands,E08000029,334,Solihull,ALL,62.6369863,l3
2021,3012,West Midlands,E08000030,335,Walsall,ALL,53.02124834,l3
2021,2905,West Midlands,E08000031,336,Wolverhampton,ALL,50.8777969,l3
2021,8348,West Midlands,E10000028,860,Staffordshire,ALL,57.59463345,l3
2021,5528,West Midlands,E10000031,937,Warwickshire,ALL,61.72214182,l3
2021,5326,West Midlands,E10000034,885,Worcestershire,ALL,56.68419076,l3
2021,2252,Yorkshire and the Humber,E06000010,810,"Kingston Upon Hull, City of",ALL,43.25044405,l3
2021,3164,Yorkshire and the Humber,E06000011,811,East Riding of Yorkshire,ALL,60.3034134,l3
2021,1418,Yorkshire and the Humber,E06000012,812,North East Lincolnshire,ALL,49.22425952,l3
2021,1651,Yorkshire and the Humber,E06000013,813,North Lincolnshire,ALL,53.60387644,l3
2021,1613,Yorkshire and the Humber,E06000014,816,York,ALL,63.73217607,l3
2021,2019,Yorkshire and the Humber,E08000016,370,Barnsley,ALL,48.34076275,l3
2021,2922,Yorkshire and the Humber,E08000017,371,Doncaster,ALL,46.23545517,l3
2021,3159,Yorkshire and the Humber,E08000018,372,Rotherham,ALL,49.47768281,l3
2021,5048,Yorkshire and the Humber,E08000019,373,Sheffield,ALL,57.34944532,l3
2021,5992,Yorkshire and the Humber,E08000032,380,Bradford,ALL,50.63417891,l3
2021,2430,Yorkshire and the Humber,E08000033,381,Calderdale,ALL,58.93004115,l3
2021,4518,Yorkshire and the Humber,E08000034,382,Kirklees,ALL,60.66843736,l3
2021,7501,Yorkshire and the Humber,E08000035,383,Leeds,ALL,53.11291828,l3
2021,3416,Yorkshire and the Humber,E08000036,384,Wakefield,ALL,51.37587822,l3
2021,2101,South West,E06000024,802,North Somerset,ALL,65.15944788,l3
2021,2513,South West,E06000025,803,South Gloucestershire,ALL,53.84003183,l3
