cohort_19_in,number_in_ss_cohort,region,la_code_9,la_code_3,la_name,gender,fsm,sen,l2_by19,l2_with_em_by19,l3_by19,l2_em_by16,l2_em_by19_belowat16,l2_by19_rate,l2_with_em_by19_rate,l3_by19_rate,l2_em_by19_belowat16_rate
2011,394,North West,E08000006,355,Salford,ALL,ALL,SEN without statements or EHC plans,247,101,86,92,22,62.69035533,25.63451777,21.82741117,7.284768212
2011,1989,North West,E08000006,355,Salford,ALL,Not eligible for FSM,ALL,1681,1271,1020,1201,129,84.51483157,63.90145802,51.28205128,16.37055838
2011,521,North West,E08000006,355,Salford,ALL,Eligible for FSM,ALL,339,193,120,199,20,65.0671785,37.04414587,23.03262956,6.211180124
2011,1250,North West,E08000006,355,Salford,Female,ALL,ALL,1039,733,578,721,52,83.12,58.64,46.24,9.829867675
2011,1260,North West,E08000006,355,Salford,Male,ALL,ALL,981,731,562,679,97,77.85714286,58.01587302,44.6031746,16.69535284
2011,3474,North West,E08000007,356,Stockport,ALL,ALL,ALL,2874,2254,1932,1941,351,82.72884283,64.88198043,55.61312608,22.8962818
2011,2786,North West,E08000007,356,Stockport,ALL,ALL,No SEN,2490,2081,1794,1840,272,89.37544867,74.69490309,64.39339555,28.75264271
2011,158,North West,E08000007,356,Stockport,ALL,ALL,SEN with statements or EHC plans,43,12,10,4,10,27.21518987,7.594936709,6.329113924,6.493506494
2011,530,North West,E08000007,356,Stockport,ALL,ALL,SEN without statements or EHC plans,341,161,128,97,69,64.33962264,30.37735849,24.1509434,15.93533487
2011,3061,North West,E08000007,356,Stockport,ALL,Not eligible for FSM,ALL,2635,2111,1828,1832,314,86.08297942,68.96439072,59.71904606,25.54922701
2011,413,North West,E08000007,356,Stockport,ALL,Eligible for FSM,ALL,239,143,104,109,37,57.86924939,34.62469734,25.18159806,12.17105263
2011,1745,North West,E08000007,356,Stockport,Female,ALL,ALL,1496,1154,1048,1031,137,85.73065903,66.13180516,60.05730659,19.18767507
2011,1729,North West,E08000007,356,Stockport,Male,ALL,ALL,1378,1100,884,910,214,79.69924812,63.62058994,51.12781955,26.12942613
2011,3197,North West,E08000008,357,Tameside,ALL,ALL,ALL,2524,1810,1553,1485,381,78.9490147,56.6155771,48.57679074,22.2546729
2011,2719,North West,E08000008,357,Tameside,ALL,ALL,No SEN,2301,1722,1475,1434,340,84.62670099,63.33210739,54.24788525,26.45914397
2011,108,North West,E08000008,357,Tameside,ALL,ALL,SEN with statements or EHC plans,27,7,6,3,4,25,6.481481481,5.555555556,3.80952381
2011,370,North West,E08000008,357,Tameside,ALL,ALL,SEN without statements or EHC plans,196,81,72,48,37,52.97297297,21.89189189,19.45945946,11.49068323
2011,2760,North West,E08000008,357,Tameside,ALL,Not eligible for FSM,ALL,2248,1641,1433,1372,317,81.44927536,59.45652174,51.92028986,22.83861671
2011,437,North West,E08000008,357,Tameside,ALL,Eligible for FSM,ALL,276,169,120,113,64,63.15789474,38.67276888,27.45995423,19.75308642
2011,1591,North West,E08000008,357,Tameside,Female,ALL,ALL,1295,920,853,769,169,81.39534884,57.82526713,53.6140792,20.55961071
2011,1606,North West,E08000008,357,Tameside,Male,ALL,ALL,1229,890,700,716,212,76.52552927,55.41718555,43.58655044,23.82022472
2011,3024,North West,E08000009,358,Trafford,ALL,ALL,ALL,2679,2208,1992,1992,237,88.59126984,73.01587302,65.87301587,22.96511628
